"Trial","1","2","3","t","e","c","h","Link"
" 662480",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"https://clinicaltrials.gov/ct2/show/NCT662480"
"1184638",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https://clinicaltrials.gov/ct2/show/NCT1184638"
"1563731",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https://clinicaltrials.gov/ct2/show/NCT1563731"
"1975064",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https://clinicaltrials.gov/ct2/show/NCT1975064"
"2047994",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https://clinicaltrials.gov/ct2/show/NCT2047994"
"2590315",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https://clinicaltrials.gov/ct2/show/NCT2590315"
"2625155",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https://clinicaltrials.gov/ct2/show/NCT2625155"
"2721654",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https://clinicaltrials.gov/ct2/show/NCT2721654"
"2754583",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https://clinicaltrials.gov/ct2/show/NCT2754583"
"2787044",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"https://clinicaltrials.gov/ct2/show/NCT2787044"
"2810704",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https://clinicaltrials.gov/ct2/show/NCT2810704"
"2823821",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"https://clinicaltrials.gov/ct2/show/NCT2823821"
"2990663",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https://clinicaltrials.gov/ct2/show/NCT2990663"
"3014167",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"https://clinicaltrials.gov/ct2/show/NCT3014167"
"3089086",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https://clinicaltrials.gov/ct2/show/NCT3089086"
"3129490",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"https://clinicaltrials.gov/ct2/show/NCT3129490"
"3180034",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https://clinicaltrials.gov/ct2/show/NCT3180034"
"3252249",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https://clinicaltrials.gov/ct2/show/NCT3252249"
"3278509",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https://clinicaltrials.gov/ct2/show/NCT3278509"
"3283878",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https://clinicaltrials.gov/ct2/show/NCT3283878"
"3344887",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"https://clinicaltrials.gov/ct2/show/NCT3344887"
"3400878",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"https://clinicaltrials.gov/ct2/show/NCT3400878"
"3431142",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https://clinicaltrials.gov/ct2/show/NCT3431142"
"3460002",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https://clinicaltrials.gov/ct2/show/NCT3460002"
"3646357",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https://clinicaltrials.gov/ct2/show/NCT3646357"
